,id_plataform,type,title,release_year,rating,duration,score
0,a,movie,the grand seduction,2014,G,113 min,99
1,a,movie,take care good night,2018,13+,110 min,37
2,a,movie,secrets of deception,2017,G,74 min,20
3,a,movie,pink: staying true,2014,G,69 min,27
4,a,movie,monster maker,1989,G,45 min,75
5,a,movie,living with dinosaurs,1989,G,52 min,74
6,a,movie,hired gun,2017,G,98 min,50
7,a,movie,grease live!,2016,G,131 min,84
8,a,movie,global meltdown,2017,G,87 min,46
9,a,movie,david's mother,1994,G,92 min,70
10,a,movie,forest fairies,2016,G,88 min,18
11,a,movie,take care,2014,G,93 min,44
12,a,movie,the night eats the world,2018,G,94 min,35
13,a,movie,resilencia,2020,G,46 min,6
14,a,movie,elon musk: the real life iron man,2018,G,74 min,87
15,a,movie,summer '03,2019,G,96 min,43
16,a,movie,zoombies,2016,13+,87 min,92
17,a,tv show,zoo babies,2008,ALL,1 Season,30
18,a,tv show,zoë coombs marr: bossy bottom,2020,18+,1 Season,49
19,a,movie,zoe,2018,R,104 min,24
20,a,tv show,zoboomafoo,2001,TV-Y,1 Season,15
21,a,tv show,zo zo zombie: mini-series,2020,TV-Y7,1 Season,3
22,a,movie,zis boom bah,1941,NR,62 min,75
23,a,tv show,zerozerozero,2020,18+,1 Season,65
24,a,movie,zandalee,1991,R,94 min,42
25,a,movie,zambezi: force of life,2005,ALL,50 min,23
26,a,tv show,zahara: the return,2020,16+,1 Season,93
27,a,tv show,z: the beginning of everything,2017,18+,1 Season,3
28,a,tv show,yu-gi-oh! zexal,2015,TV-Y7,3 Seasons,50
29,a,tv show,yu-gi-oh! arc-v,2018,TV-Y7,3 Seasons,58
30,a,tv show,yu-gi-oh! 5d's,2011,TV-Y7,2 Seasons,56
31,a,tv show,your bleeped up brain,2013,TV-PG,1 Season,96
32,a,movie,young lovers,1949,18+,86 min,61
33,a,movie,young love (at the sun factory),2007,NR,36 min,83
34,a,movie,young love (at bowery ballroom),2007,NR,37 min,40
35,a,tv show,young lions,2002,16+,1 Season,87
36,a,movie,you're not you,2015,R,103 min,49
37,a,movie,"you, me and him",2017,G,98 min,68
38,a,movie,yoga with sound meditations,2016,ALL,9 min,87
39,a,movie,yoga to harness your chakra energy,2014,ALL,18 min,90
40,a,movie,yoga to ease flight anxiety,2016,ALL,14 min,12
41,a,movie,yoga to break any habit,2014,ALL,20 min,30
42,a,tv show,"yoga therapy for back pain, neck pain & stress relief - lindsey samper",2018,ALL,1 Season,89
43,a,movie,yoga savasana relaxation,2014,ALL,19 min,44
44,a,movie,yoga for relaxation anywhere,2014,ALL,18 min,62
45,a,movie,yoga for relaxation and stress relief anywhere,2014,ALL,20 min,55
46,a,movie,yoga for relaxation and stress relief,2014,ALL,20 min,73
47,a,movie,yoga for mindfulness and meditation,2016,ALL,22 min,11
48,a,movie,yoga for men's health,2016,ALL,60 min,14
49,a,movie,yoga for breath awareness,2016,ALL,6 min,2
50,a,movie,yoga for beginners,2016,ALL,54 min,36
51,a,movie,yoga for abdominal breathing,2019,ALL,5 min,26
52,a,movie,yellowneck,1955,18+,84 min,91
53,a,tv show,yearly departed,2020,16+,1 Season,3
54,a,movie,yatra (telugu),2019,ALL,126 min,60
55,a,movie,yatra (malayalam),2019,ALL,125 min,28
56,a,tv show,yancy derringer,1959,13+,1 Season,92
